Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1978	MATH	1983	54	5
F	2001	CSCI	2007	31	6
F	1991	ART	1994	41	3
F	1972	BIO	1979	60	7
M	1966	BIO	1971	66	5
M	1982	CSCI	1988	50	6
M	1980	THEA	1990	52	10
M	1990	ECON	2000	42	10
F	1983	BIO	1990	49	7
M	1994	PE	2004	38	10
F	1974	ENGL	1974	58	0
F	1988	PHIL	1998	44	10
M	1958	HSCI	1966	74	8
F	1968	MATH	1979	64	11
F	1969	ENGL	1977	63	8
M	1967	ENGL	1972	65	5
M	1963	RL	1974	69	11
M	1973	ART	1976	59	3
F	2001	AFR	2009	31	8
M	1990	HIST	1999	42	9
M	1989	CHEM	1994	43	5
F	1979	MUS	1987	53	8
M	1989	COMP	1998	43	9
F	1988	PHYS	1995	44	7
M	1998	STAT	2005	34	7
M	1970	ECON	1976	62	6
M	2002	PE	2006	30	4
M	1993	PE	1998	39	5
F	1997	RLFR	2004	35	7
F	1976	THEA	1979	56	3
M	1969	MUS	1984	63	15
F	1977	HIST	1997	55	20
M	1972	ANTH	1981	60	9
M	1943	ECON	1952	89	9
M	1987	MUS	1994	45	7
M	1958	THEA	1966	74	8
F	1987	REL	1995	45	8
F	1968	ENGL	1972	64	4
M	1985	MATH	1990	47	5
F	1976	DANC	1987	56	11
M	2000	PE	2003	32	3
M	1972	ECON	1976	60	4
M	1971	MAST	1979	61	8
F	1984	ENGL	1991	48	7
F	1986	RUSS	1995	46	9
M	1985	ENVI	1994	47	9
M	1976	THEA	1979	56	3
F	1995	LATS	2003	37	8
M	1972	LEAD	1978	60	6
F	1981	CHIN	2004	51	23
F	1999	HIST	2006	33	7
M	1992	ART	2002	40	10
F	1981	CLAS	1993	51	12
F	1983	ENGL	1995	49	12
M	1968	ARTH	1977	64	9
F	1999	GEOS	2006	33	7
F	1985	GEOS	1993	47	8
M	1979	PSCI	1986	53	7
M	2002	PE	2002	30	0
F	1994	PSYC	2006	38	12
M	2003	PSCI	2007	29	4
M	1991	PHIL	1999	41	8
M	1959	HIST	1966	73	7
F	1991	DANC	1991	41	0
F	1984	CSCI	1992	48	8
M	1970	REL	1981	62	11
M	1994	ENGL	2002	38	8
M	1987	ENGL	1994	45	7
M	1973	STAT	1986	59	13
M	1994	BIO	2004	38	10
M	1996	CLAS	2005	36	9
M	1962	ASTR	1966	70	4
F	1970	RL	1980	62	10
F	2001	RLFR	2012	31	11
M	1972	GEOS	1977	60	5
M	1993	MATH	1999	39	6
M	1958	HIST	1964	74	6
M	1961	BIO	1966	71	5
M	1969	REL	1991	63	22
F	1982	GERM	1987	50	5
F	1991	HIST	2003	41	12
M	1989	PHIL	1998	43	9
F	1966	ENGL	1973	66	7
M	1975	ANTH	1986	57	11
F	1975	ART	1990	57	15
F	1971	BIO	1978	61	7
F	1980	PSYC	1985	52	5
M	1971	THEA	1986	61	15
M	1970	ART	1973	62	3
M	1967	ENGL	1975	65	8
M	1968	PE	1975	64	7
M	1973	PE	1990	59	17
M	1986	PSYC	1991	46	5
M	1971	MUS	1971	61	0
M	1971	PSCI	1971	61	0
F	1964	ART	1973	68	9
M	1970	PE	1974	62	4
F	1994	HIST	2007	38	13
M	1974	ENGL	1980	58	6
F	1999	ASST	2004	33	5
F	1987	ANTH	1996	45	9
M	1981	PHYS	1981	51	0
M	1976	ECON	1984	56	8
F	1990	RL	2001	42	11
F	1995	RLSP	2001	37	6
M	1995	CSCI	2000	37	5
F	1994	HIST	2003	38	9
F	1985	ENVI	2000	47	15
M	1981	MATH	1986	51	5
M	1990	ECON	2004	42	14
F	1994	CHEM	1998	38	4
M	1986	ECON	1991	46	5
M	1978	PHIL	1987	54	9
F	1997	GEOS	2004	35	7
M	1976	ART	1977	56	1
M	1966	PSYC	1970	66	4
M	1989	CHEM	1996	43	7
F	1996	CHEM	2004	36	8
M	1991	HIST	1998	41	7
M	1973	ARTH	1982	59	9
F	1973	RUSS	1983	59	10
M	1983	ECON	1996	49	13
M	1992	MUS	2000	40	8
M	2003	RLSP	2010	29	7
M	1980	ARTH	1990	52	10
M	2003	PSCI	2003	29	0
M	2003	ART	2008	29	5
M	2008	PE	2013	24	5
M	1975	PE	1982	57	7
M	1965	ENGL	1969	67	4
F	1969	ART	1969	63	0
F	1988	REL	1998	44	10
F	1996	REL	2005	36	9
F	1996	PSYC	2002	36	6
F	1976	RLFR	1982	56	6
M		ECON			
M	1989	PE	1989	43	0
M	1966	ARTH	1976	66	10
F	1976	PSYC	1981	56	5
M	1981	ART	1988	51	7
M	1999	CSCI	2006	33	7
F	1986	PE	1989	46	3
F	2000	LATS	2010	32	10
M	1981	PSCI	1985	51	4
F	1982	MUS	1989	50	7
F		ARTH	1983		
F	1996	THEA	2006	36	10
F	1983	WGSS	1991	49	8
F	1972	CLAS	1976	60	4
F	2001	ENVI	2010	31	9
M	1998	ENVI	2009	34	11
M	1963	SOC	1976	69	13
F	1999	ECON	2010	33	11
M	1973	MUS	1977	59	4
F	1980	AFR	1987	52	7
F	1969	ART	1989	63	20
M	1959	ART	1970	73	11
F	1979	PSCI	1986	53	7
F	1992	ART	1995	40	3
M	1971	GEOS	1977	61	6
M	1979	MATH	1985	53	6
M	1977	PHYS	1983	55	6
M	1999	REL	2006	33	7
M	1972	ANTH	1986	60	14
F	1989	JAPN	1999	43	10
M	1982	PE	1994	50	12
M	1964	CHEM	1970	68	6
M	1975	GEOS	1981	57	6
M	1974	PSYC	1978	58	4
M	1967	PSYC	1974	65	7
M	1970	MUS	1979	62	9
M	1991	PE	1991	41	0
F	1988	ENGL	1996	44	8
F	1993	ARAB	2004	39	11
