Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	40	5
M	1964	ENGL	1974	65	10
F	1992	ENGL	2002	37	10
M	1978	MATH	1983	51	5
F	2001	CSCI	2007	28	6
F	1991	ART	1994	38	3
F	1972	BIO	1979	57	7
M	1966	BIO	1971	63	5
M	1992	HIST	2002	37	10
M	1982	GOES	1998	47	16
M	1982	CSCI	1988	47	6
M	1980	THEA	1990	49	10
M	1990	ECON	2000	39	10
F	1983	BIO	1990	46	7
M	1994	PE	2004	35	10
F	1974	ENGL	1974	55	0
F	1988	PHIL	1998	41	10
M	1966	ECON	1971	63	5
M	1958	HSCI	1966	71	8
F	1968	MATH	1979	61	11
F	1969	ENGL	1977	60	8
M	1967	ENGL	1972	62	5
M	1963	RL	1974	66	11
M	1973	ART	1976	56	3
M	1990	HIST	1999	39	9
M	1989	CHEM	1994	40	5
F	1979	MUS	1987	50	8
M	1989	COMP	1998	40	9
F	1988	PHYS	1995	41	7
M	1998	STAT	2005	31	7
M	1993	MUS	2006	36	13
M	1970	ECON	1976	59	6
F	1985	ECON	1996	44	11
F	1976	THEA	1979	53	3
M	1969	MUS	1984	60	15
M	1972	ANTH	1981	57	9
M	1943	ECON	1952	86	9
M	1987	MUS	1994	42	7
F	1992	PE	2005	37	13
M	1958	THEA	1966	71	8
F	1987	REL	1995	42	8
F	1968	ENGL	1972	61	4
M	1985	MATH	1990	44	5
M	1955	HIST	1961	74	6
F	1976	DANC	1987	53	11
M	2000	PE	2003	29	3
M	1972	ECON	1976	57	4
M	1997	ECON	2003	32	6
M	1968	ART		61	
M	1971	MAST	1979	58	8
F	1984	ENGL	1991	45	7
F	1986	RUSS	1995	43	9
M	1976	THEA	1979	53	3
F	1995	LATS	2003	34	8
F	1997	ART	2006	32	9
M	1972	LEAD	1978	57	6
F	1981	CHIN	2004	48	23
M	1992	ART	2002	37	10
F	1997	THEA	2000	32	3
F	1981	CLAS	1993	48	12
F	1983	ENGL	1995	46	12
M	1968	ARTH	1977	61	9
F	1985	GEOS	1993	44	8
F	1957	PSYC	1962	72	5
M	1979	PSCI	1986	50	7
M	2002	PE	2002	27	0
M	1991	PHIL	1999	38	8
M	1959	HIST	1966	70	7
F	1991	DANC	1991	38	0
F	1984	CSCI	1992	45	8
M	1970	REL	1981	59	11
M	1994	ENGL	2002	35	8
M	1987	ENGL	1994	42	7
M	1973	STAT	1986	56	13
M	1994	BIO	2004	35	10
M	1996	CLAS	2005	33	9
F	1970	RL	1980	59	10
M	1972	GEOS	1977	57	5
M	1993	MATH	1999	36	6
F	1989	PSCI	1997	40	8
M	1958	HIST	1964	71	6
M	1961	BIO	1966	68	5
M	2001	PE	2001	28	0
M	1996	GERM	2007	33	11
M	1990	PSCI	2006	39	16
M	1969	REL	1991	60	22
F	1982	GERM	1987	47	5
F	1991	HIST	2003	38	12
M	1989	PHIL	1998	40	9
F	1966	ENGL	1973	63	7
M	1975	ANTH	1986	54	11
F	1975	ART	1990	54	15
F	1971	BIO	1978	58	7
F		ENVI			
M	1997	PSYC	2003	32	6
F	1980	PSYC	1985	49	5
M	1971	THEA	1986	58	15
M	1970	ART	1973	59	3
M	1967	ENGL	1975	62	8
M	1953	SOC	1963	76	10
M	1968	PE	1975	61	7
M	1973	PE	1990	56	17
F	1981	ECON	1990	48	9
M	1986	PSYC	1991	43	5
M	1971	MUS	1971	58	0
F	1964	ART	1973	65	9
F	1997	RUSS	2005	32	8
M	1970	PE	1974	59	4
F	1994	HIST	2007	35	13
M	1974	ENGL	1980	55	6
F	1987	ANTH	1996	42	9
M	1981	PHYS	1981	48	0
M	1976	ECON	1982	53	6
F	1990	RL	2001	39	11
F	1995	RLSP	2001	34	6
M	1995	CSCI	2000	34	5
M	1981	ENVI	1984	48	3
M	1986	ARTH	2000	43	14
F	1994	HIST	2003	35	9
F	1985	ENVI	2000	44	15
M	1981	MATH	1986	48	5
M	1990	ECON	2004	39	14
F	1994	CHEM	1998	35	4
M	1986	ECON	1991	43	5
M	1978	PHIL	1987	51	9
F	1997	GEOS	2004	32	7
M	1976	ART	1977	53	1
F	1992	RLSP	2003	37	11
M	1966	PSYC	1970	63	4
M	1989	CHEM	1996	40	7
