Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	37	5
M	1991	RLSP	1997	35	6
M	1978	MATH	1983	48	5
F	1991	ART	1994	35	3
F	1972	BIO	1979	54	7
M	1966	BIO	1971	60	5
M	1992	HIST	2002	34	10
M	1982	GOES	1998	44	16
M	1982	CSCI	1988	44	6
M	1980	THEA	1990	46	10
M	1990	ECON	2000	36	10
F	1977	ARTH	1980	49	3
F	1983	BIO	1990	43	7
M	1981	PE	1989	45	8
M	1994	PE	2004	32	10
F	1974	ENGL	1974	52	0
F	1988	PHIL	1998	38	10
F	1988	THEA	2001	38	13
M	1958	HSCI	1966	68	8
F	1968	MATH	1979	58	11
F	1969	ENGL	1977	57	8
M	1967	ENGL	1972	59	5
M	1963	RL	1974	63	11
M	1973	ART	1976	53	3
M	1990	HIST	1999	36	9
M	1989	CHEM	1994	37	5
F	1979	MUS	1987	47	8
M	1989	COMP	1998	37	9
F	1988	PHYS	1995	38	7
M	1970	ECON	1976	56	6
F	1985	ECON	1996	41	11
F	1976	THEA	1979	50	3
M	1969	MUS	1984	57	15
M	1972	ANTH	1981	54	9
F	1970	CSCI	1975	56	5
M	1943	ECON	1952	83	9
M	1958	THEA	1966	68	8
F	1987	REL	1995	39	8
F	1968	ENGL	1972	58	4
M	1985	MATH	1990	41	5
F	1994	RLSP	2000	32	6
M	1975	LEAD	1984	51	9
F	1976	DANC	1987	50	11
F	1997	HIST	2006	29	9
M	1971	MAST	1979	55	8
F	1984	ENGL	1991	42	7
F	1986	RUSS	1995	40	9
M	1976	THEA	1979	50	3
F	1995	ENGL	2002	31	7
M	1945	LEAD	1954	81	9
F	1981	CHIN	2004	45	23
M	1962	CHEM	1966	64	4
M	1992	ART	2002	34	10
F	1981	CLAS	1993	45	12
F	1990	PHIL	2003	36	13
F	1983	ENGL	1995	43	12
M	1968	ARTH	1977	58	9
F	1985	GEOS	1993	41	8
F	1957	PSYC	1962	69	5
M	1958	PHYS	1964	68	6
M	1979	PSCI	1986	47	7
M	1991	PHIL	1999	35	8
M	1959	HIST	1966	67	7
F	1984	CSCI	1992	42	8
M	1970	REL	1981	56	11
M	1994	ENGL	2002	32	8
M	1962	ASTR	1966	64	4
M	1987	ENGL	1994	39	7
M	1994	ECON	2002	32	8
M	1973	STAT	1986	53	13
F	1970	RL	1980	56	10
M	1972	GEOS	1977	54	5
M	1993	MATH	1999	33	6
F	1989	PSCI	1997	37	8
M	1958	HIST	1964	68	6
M	1961	BIO	1966	65	5
F	1968	ART	1975	58	7
M	1969	REL	1991	57	22
F	1982	GERM	1987	44	5
M	1989	PHIL	1998	37	9
F	1993	ART	2004	33	11
F	1966	ENGL	1973	60	7
M	1951	ART	1965	75	14
M	1975	ANTH	1986	51	11
F	1975	ART	1990	51	15
F	1971	BIO	1978	55	7
F	1980	PSYC	1985	46	5
M	1971	THEA	1986	55	15
M	1970	ART	1973	56	3
M	1953	SOC	1963	73	10
M	1968	PE	1975	58	7
M	1973	PE	1990	53	17
F	1981	ECON	1990	45	9
M	1986	PSYC	1991	40	5
M	1971	MUS	1971	55	0
F	1964	ART	1973	62	9
M	1970	PE	1974	56	4
M	1974	ENGL	1980	52	6
F	1987	ANTH	1996	39	9
M	1981	PHYS	1981	45	0
M	1976	ECON	1982	50	6
M	1994	REL	2002	32	8
F	1990	RL	2001	36	11
F	1995	RLSP	2001	31	6
M	1995	CSCI	2000	31	5
M	1986	ARTH	2000	40	14
F	1994	HIST	2003	32	9
M	1981	MATH	1986	45	5
M	1990	ECON	2004	36	14
F	1994	CHEM	1998	32	4
M	1991	ECON	1996	35	5
M	1986	ECON	1991	40	5
M	1978	PHIL	1987	48	9
M	1976	ART	1977	50	1
F	1966	ENGL		60	
M	1966	LEAD	1970	60	4
F	1996	CHEM	2004	30	8
M	1991	HIST	1998	35	7
F	1973	RUSS	1983	53	10
M	1983	ECON	1996	43	13
