Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
F	1997	JAPN	2007	36	10
M	1978	MATH	1983	55	5
M	2002	PSCI	2010	31	8
F	2001	CSCI	2007	32	6
F	1991	ART	1994	42	3
F	1972	BIO	1979	61	7
M	1966	BIO	1971	67	5
F	2003	LATS	2009	30	6
M	1982	CSCI	1988	51	6
M	1980	THEA	1990	53	10
M	1990	ECON	2000	43	10
F	1983	BIO	1990	50	7
M	1994	PE	2004	39	10
F	1974	ENGL	1974	59	0
F	1988	PHIL	1998	45	10
M	1958	HSCI	1966	75	8
F	1968	MATH	1979	65	11
F	1969	ENGL	1977	64	8
M	1967	ENGL	1972	66	5
M	1963	RL	1974	70	11
M	1973	ART	1976	60	3
F	2001	AFR	2009	32	8
M	1990	HIST	1999	43	9
M	1989	CHEM	1994	44	5
F	1979	MUS	1987	54	8
M	1989	COMP	1998	44	9
F	1988	PHYS	1995	45	7
M	1998	STAT	2005	35	7
M	1970	ECON	1976	63	6
F	2002	AFR	2006	31	4
M	2002	PE	2006	31	4
M	1993	PE	1998	40	5
F	1997	RLFR	2004	36	7
F	1976	THEA	1979	57	3
M	1969	MUS	1984	64	15
F	1977	HIST	1997	56	20
M	1972	ANTH	1981	61	9
M	1943	ECON	1952	90	9
M	1958	THEA	1966	75	8
F	1987	REL	1995	46	8
F	1968	ENGL	1972	65	4
M	1985	MATH	1990	48	5
F	1976	DANC	1987	57	11
M	1972	ECON	1976	61	4
M	1971	MAST	1979	62	8
F	1984	ENGL	1991	49	7
F	1986	RUSS	1995	47	9
M	1985	ENVI	1994	48	9
M	1976	THEA	1979	57	3
F	1995	LATS	2003	38	8
M	1972	LEAD	1978	61	6
F	1981	CHIN	2004	52	23
F	1999	HIST	2006	34	7
M	1992	ART	2002	41	10
F	1981	CLAS	1993	52	12
M	1990	ARTH	1999	43	9
F	1983	ENGL	1995	50	12
F	2003	GERM	2011	30	8
M	1968	ARTH	1977	65	9
F	1999	GEOS	2006	34	7
F	1985	GEOS	1993	48	8
M	1979	PSCI	1986	54	7
M	2002	PE	2002	31	0
F	1994	PSYC	2006	39	12
M	2003	PSCI	2007	30	4
M	1991	PHIL	1999	42	8
M	1959	HIST	1966	74	7
F	1991	DANC	1991	42	0
F	1984	CSCI	1992	49	8
M	1970	REL	1981	63	11
M	1994	ENGL	2002	39	8
M	1987	ENGL	1994	46	7
M	1973	STAT	1986	60	13
M	1994	BIO	2004	39	10
M	1996	CLAS	2005	37	9
F	1970	RL	1980	63	10
F	2001	RLFR	2012	32	11
M	1972	GEOS	1977	61	5
M	1993	MATH	1999	40	6
M	1958	HIST	1964	75	6
M	1961	BIO	1966	72	5
M	1986	MUS	1990	47	4
M	1969	REL	1991	64	22
F	1982	GERM	1987	51	5
F	1991	HIST	2003	42	12
M	1989	PHIL	1998	44	9
F	1966	ENGL	1973	67	7
M	1975	ANTH	1986	58	11
F	1975	ART	1990	58	15
F	1971	BIO	1978	62	7
M	1977	ARTH	1989	56	12
F	1980	PSYC	1985	53	5
M	1971	THEA	1986	62	15
M	1970	ART	1973	63	3
M	1967	ENGL	1975	66	8
M	1968	PE	1975	65	7
M	1973	PE	1990	60	17
M	1986	PSYC	1991	47	5
M	1971	MUS	1971	62	0
F	1997	ARTH	2011	36	14
F	1964	ART	1973	69	9
M	1980	ENGL	1983	53	3
M	1970	PE	1974	63	4
F	1994	HIST	2007	39	13
M	1974	ENGL	1980	59	6
F	1999	ASST	2004	34	5
F	1987	ANTH	1996	46	9
M	1981	PHYS	1981	52	0
F	1985	AFR		48	
M	1976	ECON	1984	57	8
F	1990	RL	2001	43	11
F	1995	RLSP	2001	38	6
M	1995	CSCI	2000	38	5
F	1994	HIST	2003	39	9
F	1985	ENVI	2000	48	15
M	1981	MATH	1986	52	5
M	1990	ECON	2004	43	14
F	1994	CHEM	1998	39	4
M	1986	ECON	1991	47	5
M	1978	PHIL	1987	55	9
F	1997	GEOS	2004	36	7
F	2007	PE	2009	26	2
M	1976	ART	1977	57	1
M	2000	STAT	2000	33	0
M	1989	CHEM	1996	44	7
F	1996	CHEM	2004	37	8
F	1973	RUSS	1983	60	10
M	1983	ECON	1996	50	13
M	1992	MUS	2000	41	8
M	2003	RLSP	2010	30	7
M	1980	ARTH	1990	53	10
M	2003	PSCI	2003	30	0
M	2008	PE	2013	25	5
M	1975	PE	1982	58	7
F	1969	ART	1969	64	0
F	1988	REL	1998	45	10
F	1996	REL	2005	37	9
F	1996	PSYC	2002	37	6
M	1989	PE	1989	44	0
M	1966	ARTH	1976	67	10
F	1976	PSYC	1981	57	5
M	1981	ART	1988	52	7
M	1999	CSCI	2006	34	7
F	1986	PE	1989	47	3
F	2000	LATS	2010	33	10
M	1981	PSCI	1985	52	4
F	1982	MUS	1989	51	7
F		ARTH	1983		
F	1996	THEA	2006	37	10
F	1983	WGSS	1991	50	8
F	1972	CLAS	1976	61	4
M	1998	ENVI	2009	35	11
M	1967	HIST	1972	66	5
M	1963	SOC	1976	70	13
M	1984	ART	1990	49	6
F	1999	ECON	2010	34	11
M	1973	MUS	1977	60	4
F	1980	AFR	1987	53	7
F	1969	ART	1989	64	20
M	1959	ART	1970	74	11
F	1979	PSCI	1986	54	7
F	1992	ART	1995	41	3
M	1971	GEOS	1977	62	6
M	1979	MATH	1985	54	6
M	1977	PHYS	1983	56	6
F	2002	ENGL	2009	31	7
M	1999	REL	2006	34	7
M	1972	ANTH	1986	61	14
F	1989	JAPN	1999	44	10
M	1982	PE	1994	51	12
M	1964	CHEM	1970	69	6
M	1975	GEOS	1981	58	6
M	1974	PSYC	1978	59	4
M	1967	PSYC	1974	66	7
M	1970	MUS	1979	63	9
M	1991	PE	1991	42	0
F	1988	ENGL	1996	45	8
F	1993	ARAB	2004	40	11
M	1973	GERM	1979	60	6
F	1977	GERM	1977	56	0
M	1985	PSYC	1991	48	6
M	1985	HIST	1997	48	12
M	1983	ENGL	1991	50	8
M	1996	STAT	2004	37	8
F	1983	ENGL		50	
F	1971	ENGL	1975	62	4
F	1998	ENVI	2006	35	8
M	1972	HIST	1983	61	11
M	1972	ASST	1981	61	9
M	1993	PE	1999	40	6
M	1982	ECON	1989	51	7
F	1972	ASTR	1979	61	7
F	2000	ECON	2006	33	6
F	1978	ART	1980	55	2
M	1987	HIST	1999	46	12
M	1995	BIO	2002	38	7
M	1977	CSCI	1983	56	6
M	1976	ART	1980	57	4
M	2001	PE	2001	32	0
M	1980	ARTH	1989	53	9
M	1980	PE	1985	53	5
M	1974	ENGL	1981	59	7
F	1989	MATH	1994	44	5
F	1989	HIST	2003	44	14
M	1992	PHYS	2001	41	9
M	1996	ECON	2003	37	7
M	1979	CHEM	1985	54	6
M	1994	ART	2001	39	7
M	1979	BIO	1983	54	4
M	1989	ENVI	2000	44	11
M	1972	PSCI	1983	61	11
M	1998	PSCI	2007	35	9
F	1992	CHEM	1992	41	0
F	1987	ARTH	2002	46	15
M	1977	PSCI	1989	56	12
M	1982	PHYS	1989	51	7
M	1988	PE	1990	45	2
F	2001	PE	2001	32	0
M	1995	AFR	2002	38	7
F	1999	AFR	2007	34	8
F	1977	PE	1988	56	11
M	1964	PSCI	1968	69	4
F	1999	BIO	2008	34	9
M	1993	RLFR	2003	40	10
F	1984	NSCI	1995	49	11
F	1978	PE	1986	55	8
M	1986	PSCI	1999	47	13
F	1974	ART	1980	59	6
M	1987	PE	2007	46	20
F	1979	ART	1983	54	4
M	2000	CSCI	2006	33	6
M	1994	PHIL	2007	39	13
M	1993	ENGL	2003	40	10
F	1982	PE	1985	51	3
F	1992	PSCI	2003	41	11
F	1986	HIST	1994	47	8
M	1996	MATH	2002	37	6
F	1984	PHIL	1996	49	12
