Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	38	5
M	1991	RLSP	1997	36	6
M	1978	MATH	1983	49	5
F	1991	ART	1994	36	3
F	1972	BIO	1979	55	7
M	1966	BIO	1971	61	5
M	1992	HIST	2002	35	10
M	1982	GOES	1998	45	16
M	1982	CSCI	1988	45	6
M	1980	THEA	1990	47	10
M	1990	ECON	2000	37	10
F	1983	BIO	1990	44	7
M	1981	PE	1989	46	8
M	1994	PE	2004	33	10
F	1974	ENGL	1974	53	0
F	1988	PHIL	1998	39	10
F	1988	THEA	2001	39	13
M	1958	HSCI	1966	69	8
F	1968	MATH	1979	59	11
F	1969	ENGL	1977	58	8
M	1967	ENGL	1972	60	5
M	1963	RL	1974	64	11
M	1973	ART	1976	54	3
M	1986	ENVI	2004	41	18
M	1990	HIST	1999	37	9
M	1989	CHEM	1994	38	5
M	1979	ART	2003	48	24
M	1980	ENGL	1987	47	7
F	1979	MUS	1987	48	8
M	1989	COMP	1998	38	9
F	1988	PHYS	1995	39	7
M	1991	KOR	2002	36	11
M	1998	STAT	2005	29	7
M	1970	ECON	1976	57	6
F	1985	ECON	1996	42	11
F	1971	REL	1982	56	11
F	1976	THEA	1979	51	3
M	1969	MUS	1984	58	15
M	1972	ANTH	1981	55	9
F	1970	CSCI	1975	57	5
M	1943	ECON	1952	84	9
M	1958	THEA	1966	69	8
F	1987	REL	1995	40	8
F	1968	ENGL	1972	59	4
M	1985	MATH	1990	42	5
M	1975	LEAD	1984	52	9
F	1976	DANC	1987	51	11
F	1976	AFR	1987	51	11
M	1972	ECON	1976	55	4
M	1997	ECON	2003	30	6
M	1971	MAST	1979	56	8
F	1984	ENGL	1991	43	7
F	1986	RUSS	1995	41	9
F	1989	ANTH	1999	38	10
M	1976	THEA	1979	51	3
F	1995	LATS	2003	32	8
F	1995	ENGL	2002	32	7
M	1972	LEAD	1978	55	6
M	1945	LEAD	1954	82	9
F	1981	CHIN	2004	46	23
F	2000	PSYC	2003	27	3
M	1962	CHEM	1966	65	4
M	1992	ART	2002	35	10
F	1981	CLAS	1993	46	12
F	1990	PHIL	2003	37	13
F	1968	ARTH	1984	59	16
F	1983	ENGL	1995	44	12
F	1981	ENGL	1991	46	10
M	1968	ARTH	1977	59	9
M	1993	PSCI	2004	34	11
F	1985	GEOS	1993	42	8
M		STAT			
F	1957	PSYC	1962	70	5
M	1979	PSCI	1986	48	7
M	1991	PHIL	1999	36	8
M	1959	HIST	1966	68	7
F	1972	ECON	1976	55	4
F	1991	ART	1991	36	0
F	1984	CSCI	1992	43	8
M	1970	REL	1981	57	11
M	1994	ENGL	2002	33	8
M	1987	ENGL	1994	40	7
M	1994	ECON	2002	33	8
M	1973	STAT	1986	54	13
M	1994	BIO	2004	33	10
M	1996	CLAS	2005	31	9
F	1970	RL	1980	57	10
M	1972	GEOS	1977	55	5
M	1993	MATH	1999	34	6
F	1989	PSCI	1997	38	8
M	1958	HIST	1964	69	6
M	1961	BIO	1966	66	5
F	1968	ART	1975	59	7
M	1994	RLSP	1999	33	5
M	1969	REL	1991	58	22
F	1982	GERM	1987	45	5
M	1989	PHIL	1998	38	9
F	1993	ART	2004	34	11
F	1966	ENGL	1973	61	7
M	1951	ART	1965	76	14
M	1975	ANTH	1986	52	11
F	1975	ART	1990	52	15
F	1971	BIO	1978	56	7
F	1980	PSYC	1985	47	5
M	1971	THEA	1986	56	15
M	1970	ART	1973	57	3
M	1968	PE	1975	59	7
M	1973	PE	1990	54	17
F	1981	ECON	1990	46	9
M	1986	PSYC	1991	41	5
M	1971	MUS	1971	56	0
F	1964	ART	1973	63	9
M	1970	PE	1974	57	4
M	1974	ENGL	1980	53	6
F	1987	ANTH	1996	40	9
M	1981	PHYS	1981	46	0
M	1976	ECON	1982	51	6
M	1994	REL	2002	33	8
F	1990	RL	2001	37	11
M	1977	ENGL	1985	50	8
F	1995	RLSP	2001	32	6
M	1995	CSCI	2000	32	5
M	1986	ARTH	2000	41	14
F	1994	HIST	2003	33	9
F	1985	ENVI	2000	42	15
M	1981	MATH	1986	46	5
M	1990	ECON	2004	37	14
F	1994	CHEM	1998	33	4
M	1986	ECON	1991	41	5
M	1978	PHIL	1987	49	9
M	1976	ART	1977	51	1
F	1992	RLSP	2003	35	11
F	1966	ENGL		61	
M	1966	LEAD	1970	61	4
F	1996	CHEM	2004	31	8
M	1991	HIST	1998	36	7
F	1973	RUSS	1983	54	10
M	1983	ECON	1996	44	13
M	1992	MUS	2000	35	8
F	1958	ENGL	1976	69	18
F	1996	PE	2003	31	7
M	1975	PE	1982	52	7
F	1984	PSCI	2003	43	19
F	1969	ART	1969	58	0
F	1988	REL	1998	39	10
M	1997	ENGL	2003	30	6
M	1974	ECON	1986	53	12
F	1996	REL	2005	31	9
M	1983	CHEM	1994	44	11
M	1966	ARTH	1976	61	10
F	1994	PSCI	2002	33	8
F	1976	PSYC	1981	51	5
M	1981	ART	1988	46	7
F	1986	PE	1989	41	3
F	1993	HIST	1999	34	6
F	1976	ECON	1985	51	9
M	1961	MATH	1966	66	5
M	1981	PSCI	1985	46	4
F	1982	MUS	1989	45	7
M	1994	MUS	2005	33	11
F		ARTH	1983		
F	1983	WGSS	1991	44	8
F	1972	CLAS	1976	55	4
F	1989	BIO	1998	38	9
M	1963	SOC	1976	64	13
M	1984	ART	1990	43	6
M	1973	MUS	1977	54	4
F	1980	AFR	1987	47	7
F	1969	ART	1989	58	20
M	1959	ART	1970	68	11
F	1979	PSCI	1986	48	7
M	1971	PE	1971	56	0
F	1992	ART	1995	35	3
M	1971	GEOS	1977	56	6
M	1979	MATH	1985	48	6
M	1977	PHYS	1983	50	6
F	1993	THEA	2000	34	7
M	1977	ART	1977	50	0
M	1972	ANTH	1986	55	14
F	1989	JAPN	1999	38	10
M	1982	PE	1994	45	12
M	1964	CHEM	1970	63	6
M	1975	GEOS	1981	52	6
M	1979	SOC	1987	48	8
M	1974	PSYC	1978	53	4
M	1967	PSYC	1974	60	7
M	1970	MUS	1979	57	9
F	1988	ENGL	1996	39	8
M	1995	ECON	2001	32	6
M	1973	GERM	1979	54	6
F	1977	GERM	1977	50	0
M	1985	PSYC	1991	42	6
M	1985	HIST	1997	42	12
M	1983	ENGL	1991	44	8
M	1996	STAT	2004	31	8
F	1971	ENGL	1975	56	4
M	1972	HIST	1983	55	11
M	1972	ASST	1981	55	9
F	1981	HIST	1990	46	9
M	1993	PE	1999	34	6
F	1972	ASTR	1979	55	7
F	1978	ART	1980	49	2
M	1966	ENVI	1971	61	5
M	1977	CSCI	1983	50	6
F	1981	CSCI	1989	46	8
M	1976	ART	1980	51	4
M	2001	PE	2001	26	0
M	1980	ARTH	1989	47	9
M	1980	PE	1985	47	5
M	1993	THEA	1998	34	5
M	1974	ENGL	1981	53	7
F	1989	MATH	1994	38	5
F	1989	HIST	2003	38	14
M	1996	ECON	2003	31	7
M	1979	CHEM	1985	48	6
M	1994	ART	2001	33	7
M	1979	BIO	1983	48	4
M	1990	PSCI	1997	37	7
M	1972	PSCI	1983	55	11
F	1992	CHEM	1992	35	0
M	1977	PSCI	1989	50	12
M	1982	PHYS	1989	45	7
F	1987	ECON	1998	40	11
F	1989	REL	2002	38	13
F	1977	PE	1988	50	11
M	1964	PSCI	1968	63	4
M	1952	CHEM	1957	75	5
M	1993	RLFR	2003	34	10
M	1997	HIST	2003	30	6
F	1978	PE	1986	49	8
F	1968	ARTH	1980	59	12
M	1986	PSCI	1999	41	13
F	1974	ART	1980	53	6
M	1987	PE	2007	40	20
F	1979	ART	1983	48	4
M	1985	ART	1994	42	9
M	1993	ENGL	2003	34	10
M	1993	ECON	1999	34	6
F	1982	PE	1985	45	3
F	1992	PSCI	2003	35	11
F	1986	HIST	1994	41	8
M	1964	MATH	1969	63	5
F	1984	PHIL	1996	43	12
M	1973	ECON	1978	54	5
M	1967	MUS	1977	60	10
M	1990	PE	2004	37	14
M	1994	BIO	1999	33	5
M	1990	PE	2004	37	14
M	1974	MATH	1977	53	3
M	1990	PHIL	1999	37	9
F	1995	AFR	1998	32	3
M	1981	ENGL	1986	46	5
M	1974	CSCI	1983	53	9
F	1989	HIST	1996	38	7
F	1996	CLAS	2005	31	9
F	1976	GERM	1984	51	8
M	1962	RL	1971	65	9
M	1984	SOC	1995	43	11
M	1963	RL	1968	64	5
M	1991	CHIN	2004	36	13
M	1995	ECON	2000	32	5
F	1972	ART	1982	55	10
M	1986	THEA	1999	41	13
F	1997	MATH	2003	30	6
M	1986	CHEM	1992	41	6
M	1975	ENGL	1975	52	0
M	1963	ASTR	1969	64	6
F	1968	ENGL	1974	59	6
M	1990	PSCI	2000	37	10
M	1987	PE	1991	40	4
M	1974	CHEM	1982	53	8
F	1986	PHIL	1999	41	13
M	1986	ECON	1993	41	7
F	1989	MUS	1999	38	10
M	1980	ENGL	1987	47	7
F	1995	RL	2001	32	6
F	1998	PE	2002	29	4
F	1982	ART	1987	45	5
M	1958	CLAS	1962	69	4
F	1967	CSCI	1979	60	12
M	1975	ENGL	1984	52	9
M	1968	ENGL	1972	59	4
M	1992	ECON	1997	35	5
F	1982	BIO	1990	45	8
F	1990	HIST	2002	37	12
M	1983	HIST	1991	44	8
M	1997	ENGL	2005	30	8
M	1979	CHEM	1984	48	5
M	1998	ECON	2004	29	6
F	1993	PE	1996	34	3
F	1980	BIO	1987	47	7
M	1985	ENGL	1993	42	8
F	1987	RL	1995	40	8
F	1993	LATS	2004	34	11
M	1967	PE	1970	60	3
M	1983	ECON	1994	44	11
M	1996	LING	2003	31	7
F	1991	PSYC	1995	36	4
M	1994	PSYC	1999	33	5
M	1962	ART	1962	65	0
M	1987	BIO	1993	40	6
M	1993	PSYC	1997	34	4
F	1974	PHIL	1983	53	9
M	1975	ECON	1979	52	4
F	1992	ECON	2002	35	10
M	1992	PSYC	2004	35	12
F	1994	THEA	1994	33	0
F	1983	PSCI	1994	44	11
M	1975	PE	1988	52	13
M	1978	ENGL	1980	49	2
F	1987	ENGL	1992	40	5
M	1977	ECON	1984	50	7
M	1991	MUS	1996	36	5
F	1996	SOC	2002	31	6
F	1991	ECON	1996	36	5
M	1994	REL	2004	33	10
M	1977	MATH	1984	50	7
