Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	41	5
M	1978	MATH	1983	52	5
M	1957	PHIL	1961	73	4
F	2001	CSCI	2007	29	6
F	1991	ART	1994	39	3
F	1972	BIO	1979	58	7
F	1987	ART	1998	43	11
M	1966	BIO	1971	64	5
M	1992	HIST	2002	38	10
M	1982	GOES	1998	48	16
M	1982	CSCI	1988	48	6
M	1980	THEA	1990	50	10
M	1990	ECON	2000	40	10
M		CSCI	1998		
F	1983	BIO	1990	47	7
M	1994	PE	2004	36	10
F	1974	ENGL	1974	56	0
F	1988	PHIL	1998	42	10
M	1958	HSCI	1966	72	8
F	1968	MATH	1979	62	11
F	1969	ENGL	1977	61	8
M	1967	ENGL	1972	63	5
M	1963	RL	1974	67	11
M	1973	ART	1976	57	3
F	2001	AFR	2009	29	8
M	1967	ART	1969	63	2
M	1990	HIST	1999	40	9
M	1989	CHEM	1994	41	5
F	1979	MUS	1987	51	8
M	1989	COMP	1998	41	9
F	1988	PHYS	1995	42	7
M	1998	STAT	2005	32	7
M	1970	ECON	1976	60	6
F	1985	ECON	1996	45	11
M	2002	PE	2006	28	4
M	1993	PE	1998	37	5
F	1976	THEA	1979	54	3
M	1969	MUS	1984	61	15
F	1977	HIST	1997	53	20
M	1972	ANTH	1981	58	9
M	1943	ECON	1952	87	9
M	1987	MUS	1994	43	7
F	1992	PE	2005	38	13
M	1958	THEA	1966	72	8
F	1987	REL	1995	43	8
F	1968	ENGL	1972	62	4
M	1985	MATH	1990	45	5
F	1976	DANC	1987	54	11
M	2000	PE	2003	30	3
M	1972	ECON	1976	58	4
M	1997	ECON	2003	33	6
M	1971	MAST	1979	59	8
F	1984	ENGL	1991	46	7
F	1986	RUSS	1995	44	9
M	1976	THEA	1979	54	3
F	1995	LATS	2003	35	8
M	1972	LEAD	1978	58	6
F	1981	CHIN	2004	49	23
F	1999	HIST	2006	31	7
M	1992	ART	2002	38	10
F	1981	CLAS	1993	49	12
F	1983	ENGL	1995	47	12
M	1968	ARTH	1977	62	9
F	1999	GEOS	2006	31	7
F	1985	GEOS	1993	45	8
F	1957	PSYC	1962	73	5
M	1979	PSCI	1986	51	7
M	2002	PE	2002	28	0
M		ENVI			
F	1994	PSYC	2006	36	12
F		ARTH			
M	1991	PHIL	1999	39	8
M	1959	HIST	1966	71	7
F	1991	DANC	1991	39	0
F	1984	CSCI	1992	46	8
M	1970	REL	1981	60	11
M	1994	ENGL	2002	36	8
M	1987	ENGL	1994	43	7
M	1973	STAT	1986	57	13
M	1994	BIO	2004	36	10
M	1996	CLAS	2005	34	9
M	1962	ASTR	1966	68	4
F	1970	RL	1980	60	10
M	1972	GEOS	1977	58	5
M	1993	MATH	1999	37	6
F	1989	PSCI	1997	41	8
M	1958	HIST	1964	72	6
M	1961	BIO	1966	69	5
M	2001	PE	2001	29	0
M	2004	PE	2004	26	0
M	1969	REL	1991	61	22
F	1982	GERM	1987	48	5
F	1991	HIST	2003	39	12
M	1989	PHIL	1998	41	9
F	1966	ENGL	1973	64	7
M	1975	ANTH	1986	55	11
F	1975	ART	1990	55	15
F	1971	BIO	1978	59	7
F	1980	PSYC	1985	50	5
M	1971	THEA	1986	59	15
M	1970	ART	1973	60	3
M	1967	ENGL	1975	63	8
M	1968	PE	1975	62	7
M	1973	PE	1990	57	17
F	1981	ECON	1990	49	9
