Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	45	5
F	1997	JAPN	2007	37	10
M	1999	PE	2000	35	1
M	1978	MATH	1983	56	5
F	2001	CSCI	2007	33	6
F	1991	ART	1994	43	3
F	1972	BIO	1979	62	7
M	1966	BIO	1971	68	5
M	1999	ECON	2003	35	4
M	1982	CSCI	1988	52	6
M	1980	THEA	1990	54	10
M	1990	ECON	2000	44	10
F	1983	BIO	1990	51	7
F	1995	ENGL	2012	39	17
F	1993	PE	1996	41	3
M	1994	PE	2004	40	10
F	1974	ENGL	1974	60	0
F	1988	PHIL	1998	46	10
M	1958	HSCI	1966	76	8
F	1968	MATH	1979	66	11
F	1969	ENGL	1977	65	8
M	1967	ENGL	1972	67	5
M	1963	RL	1974	71	11
M	1973	ART	1976	61	3
F	2001	AFR	2009	33	8
M	1990	HIST	1999	44	9
M	1989	CHEM	1994	45	5
F	1967	ECON	1979	67	12
M	2002	CHEM	2008	32	6
F	1979	MUS	1987	55	8
M	1989	COMP	1998	45	9
F	1988	PHYS	1995	46	7
M	1970	ECON	1976	64	6
F	2002	AFR	2006	32	4
M	1993	PE	1998	41	5
F	1997	RLFR	2004	37	7
F	1976	THEA	1979	58	3
F	1977	HIST	1997	57	20
M	1972	ANTH	1981	62	9
M	1943	ECON	1952	91	9
F	1987	REL	1995	47	8
F	1968	ENGL	1972	66	4
M	1985	MATH	1990	49	5
F	1976	DANC	1987	58	11
M	1972	ECON	1976	62	4
M	1971	MAST	1979	63	8
F	1984	ENGL	1991	50	7
F	1986	RUSS	1995	48	9
M	1985	ENVI	1994	49	9
M	1976	THEA	1979	58	3
F	1995	LATS	2003	39	8
M	1972	LEAD	1978	62	6
F	1981	CHIN	2004	53	23
F	1999	HIST	2006	35	7
M	1992	ART	2002	42	10
F	1981	CLAS	1993	53	12
F	2006	PE	2009	28	3
F	1983	ENGL	1995	51	12
F	2002	GEOS	2010	32	8
M	1999	RLSP	2012	35	13
F	2003	GERM	2011	31	8
M	2007	PSYC	2012	27	5
M	1968	ARTH	1977	66	9
F	1999	GEOS	2006	35	7
M	2000	AMST	2011	34	11
F	2001	ENGL	2009	33	8
F	1985	GEOS	1993	49	8
M	2000	REL	2008	34	8
M	1979	PSCI	1986	55	7
M	2002	PE	2002	32	0
F	1994	PSYC	2006	40	12
M	2003	PSCI	2007	31	4
M	1991	PHIL	1999	43	8
F	1999	RLFR	2012	35	13
F	1991	DANC	1991	43	0
F	1984	CSCI	1992	50	8
M	1970	REL	1981	64	11
M	1987	ENGL	1994	47	7
M	1973	STAT	1986	61	13
F	2005	PE	2007	29	2
M	1994	BIO	2004	40	10
M	1996	CLAS	2005	38	9
M	1962	ASTR	1966	72	4
F	1970	RL	1980	64	10
F	2001	RLFR	2012	33	11
M	1972	GEOS	1977	62	5
M	1993	MATH	1999	41	6
M	1958	HIST	1964	76	6
M	1961	BIO	1966	73	5
M	1986	MUS	1990	48	4
M	2001	MUS	2010	33	9
M	1969	REL	1991	65	22
F	1982	GERM	1987	52	5
F	1991	HIST	2003	43	12
M	1989	PHIL	1998	45	9
F	1966	ENGL	1973	68	7
M	1975	ANTH	1986	59	11
F	1975	ART	1990	59	15
F	1971	BIO	1978	63	7
F	1999	ARAB	2010	35	11
F	1980	PSYC	1985	54	5
F	2000	PSCI	2010	34	10
M	1971	THEA	1986	63	15
M	1970	ART	1973	64	3
M	1968	PE	1975	66	7
M	1973	PE	1990	61	17
M	1986	PSYC	1991	48	5
M	1971	MUS	1971	63	0
F	1964	ART	1973	70	9
M	1970	PE	1974	64	4
F	1994	HIST	2007	40	13
M	1974	ENGL	1980	60	6
F	1987	ANTH	1996	47	9
M	1981	PHYS	1981	53	0
M	1976	ECON	1984	58	8
