Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1989	PHYS	1994	42	5
M	1978	MATH	1983	53	5
M	1957	PHIL	1961	74	4
F	2001	CSCI	2007	30	6
F	1991	ART	1994	40	3
F	1972	BIO	1979	59	7
M	1966	BIO	1971	65	5
M	1992	HIST	2002	39	10
M	1982	CSCI	1988	49	6
M	1980	THEA	1990	51	10
M	1990	ECON	2000	41	10
F	1983	BIO	1990	48	7
M	1994	PE	2004	37	10
F	1974	ENGL	1974	57	0
F	1988	PHIL	1998	43	10
M	1958	HSCI	1966	73	8
F	1968	MATH	1979	63	11
F	1969	ENGL	1977	62	8
M	1967	ENGL	1972	64	5
M	1963	RL	1974	68	11
M	1973	ART	1976	58	3
F	2001	AFR	2009	30	8
M	1990	HIST	1999	41	9
M	1989	CHEM	1994	42	5
F	1979	MUS	1987	52	8
M	1989	COMP	1998	42	9
F	1988	PHYS	1995	43	7
M	1998	STAT	2005	33	7
M	1970	ECON	1976	61	6
F	1985	ECON	1996	46	11
M	2002	PE	2006	29	4
M	1993	PE	1998	38	5
F	1976	THEA	1979	55	3
M	1969	MUS	1984	62	15
F	1977	HIST	1997	54	20
M	1972	ANTH	1981	59	9
M	1943	ECON	1952	88	9
M	1987	MUS	1994	44	7
M	1958	THEA	1966	73	8
F	1987	REL	1995	44	8
F	1968	ENGL	1972	63	4
M	1985	MATH	1990	46	5
F	1976	DANC	1987	55	11
M	2000	PE	2003	31	3
M	1972	ECON	1976	59	4
M	1997	ECON	2003	34	6
M	1971	MAST	1979	60	8
F	1984	ENGL	1991	47	7
F	1986	RUSS	1995	45	9
M	1976	THEA	1979	55	3
F	1995	LATS	2003	36	8
M	1972	LEAD	1978	59	6
F	1981	CHIN	2004	50	23
F	1999	HIST	2006	32	7
M	1992	ART	2002	39	10
F	1981	CLAS	1993	50	12
F	1983	ENGL	1995	48	12
M	1968	ARTH	1977	63	9
F	1999	GEOS	2006	32	7
F	1985	GEOS	1993	46	8
M	1979	PSCI	1986	52	7
M	2002	PE	2002	29	0
F	1994	PSYC	2006	37	12
M	1991	PHIL	1999	40	8
M	1959	HIST	1966	72	7
F	1991	DANC	1991	40	0
F	1984	CSCI	1992	47	8
M	1970	REL	1981	61	11
M	1994	ENGL	2002	37	8
M	1987	ENGL	1994	44	7
M	1973	STAT	1986	58	13
M	1994	BIO	2004	37	10
M	1996	CLAS	2005	35	9
F	1970	RL	1980	61	10
M	1972	GEOS	1977	59	5
M	1993	MATH	1999	38	6
F	1989	PSCI	1997	42	8
M	1958	HIST	1964	73	6
M	1961	BIO	1966	70	5
M	2001	PE	2001	30	0
M	2004	PE	2004	27	0
M	1969	REL	1991	62	22
F	1982	GERM	1987	49	5
F	1991	HIST	2003	40	12
M	1989	PHIL	1998	42	9
F	1966	ENGL	1973	65	7
M	1975	ANTH	1986	56	11
F	1975	ART	1990	56	15
F	1971	BIO	1978	60	7
F	1980	PSYC	1985	51	5
M	1971	THEA	1986	60	15
M	1970	ART	1973	61	3
M	1967	ENGL	1975	64	8
M	1968	PE	1975	63	7
M	1973	PE	1990	58	17
F	1981	ECON	1990	50	9
M	1986	PSYC	1991	45	5
M	1971	MUS	1971	60	0
F	1964	ART	1973	67	9
M	1970	PE	1974	61	4
F	1994	HIST	2007	37	13
M	1974	ENGL	1980	57	6
F	1987	ANTH	1996	44	9
M	1981	PHYS	1981	50	0
F	1990	RL	2001	41	11
F	1995	RLSP	2001	36	6
M	1995	CSCI	2000	36	5
F	1994	HIST	2003	37	9
F	1985	ENVI	2000	46	15
M	1981	MATH	1986	50	5
M		ENGL			
M	1990	ECON	2004	41	14
F	1994	CHEM	1998	37	4
M	1986	ECON	1991	45	5
M	1978	PHIL	1987	53	9
F	1997	GEOS	2004	34	7
M	1978	PSCI	2004	53	26
M	1976	ART	1977	55	1
M	1966	PSYC	1970	65	4
M	1989	CHEM	1996	42	7
F	1996	CHEM	2004	35	8
M	1991	HIST	1998	40	7
M	1973	ARTH	1982	58	9
F	1973	RUSS	1983	58	10
